network_name,case,tg_cold,tg_followup,li_connect,li_first,li_followup
Eteria,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Eteria and saw a general-purpose EVM L1 still building out its DeFi base layer. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like Eteria has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what Eteria runs on and I can tell you if canonical recognition's on the table for Eteria. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what Eteria's DEX (Eteria) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw a general-purpose EVM L1 still building out its DeFi base layer on Eteria. if there isn't a canonical AMM yet, getting a proper Uniswap stack + Safe in early is what makes builders and liquidity take a new L1 seriously. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on Eteria yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to Eteria's docs whenever and I'll tell you quickly if there's a canonical path for Eteria."
Fluent,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Fluent and saw FluxFlow already runs a Uniswap-v3-style DEX, and Safe is live on Fluent. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what FluxFlow V3 runs on and I can tell you if canonical recognition's on the table for Fluent. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Fluent's DEX (FluxFlow V3) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw FluxFlow already runs a Uniswap-v3-style DEX, and Safe is live on Fluent on Fluent. since you're a multi-VM chain courting serious builders, a canonical Uniswap v3 (officially DAO-recognized) is what gets you prioritized by aggregators and treated as blue-chip infra. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to FluxFlow V3's docs whenever and I'll tell you quickly if there's a canonical path for Fluent."
Etica,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at Etica. you've got EticaHub on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. also — doesn't look like Etica has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a chat?","hey [Name], circling back — layering V3 on EticaHub is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. Etica has EticaHub on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw Etica runs EticaHub on V2 — solid, but no V3 yet. for a research-funding token economy, V3 concentrated liquidity would let market makers hold tighter ETX spreads instead of the thin V2 pools you have now. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). also, no Safe on Etica yet from what I can see — we can handle that too, we're official Safe integrators. open to a chat?","hey [Name], no rush — whenever you want to give Etica's LPs a V3 option on top of EticaHub, it's a quick add-on for us."
Igra,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at Igra. you've got ZealousSwap, KaspaCom Dex on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. worth a chat?","hey [Name], circling back — layering V3 on ZealousSwap is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. Igra has ZealousSwap on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. worth a chat?","Thanks for connecting, [Name]. saw Igra runs ZealousSwap on V2 — solid, but no V3 yet. as Kaspa liquidity flows into Igra, V3 concentrated liquidity is what lets your MMs quote KAS/iKAS pairs efficiently instead of spreading capital thin across V2 curves. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). open to a chat?","hey [Name], no rush — whenever you want to give Igra's LPs a V3 option on top of ZealousSwap, it's a quick add-on for us."
BCHyper,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at BCHyper and saw BCSwap is your official DEX but its underlying stack isn't public. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like BCHyper has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what BCSwap runs on and I can tell you if canonical recognition's on the table for BCHyper. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what BCHyper's DEX (BCSwap) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw BCSwap is your official DEX but its underlying stack isn't public on BCHyper. depending on what BCSwap is built on, there may be a clean path to a canonical Uniswap deployment that gives an emerging-market chain real aggregator visibility. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on BCHyper yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to BCSwap's docs whenever and I'll tell you quickly if there's a canonical path for BCHyper."
QIE,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at QIE. you've got QIEDex on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. also — doesn't look like QIE has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a chat?","hey [Name], circling back — layering V3 on QIEDex is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. QIE has QIEDex on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw QIE runs QIEDex on V2 — solid, but no V3 yet. for a chain positioning around identity and institutional onboarding, a canonical V3 signals DeFi maturity to the partners you're courting. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). also, no Safe on QIE yet from what I can see — we can handle that too, we're official Safe integrators. open to a chat?","hey [Name], no rush — whenever you want to give QIE's LPs a V3 option on top of QIEDex, it's a quick add-on for us."
Doma,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Doma and saw you've already deployed Uniswap V3 to power domain-token fractionalization, and Safe is live. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what Doma DEX V3 runs on and I can tell you if canonical recognition's on the table for Doma. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Doma's DEX (Doma DEX V3) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw you've already deployed Uniswap V3 to power domain-token fractionalization, and Safe is live on Doma. since fractionalized-domain tokens live or die on liquidity depth, canonical DAO recognition + a proper routing/graph stack around your V3 would tighten pricing and pull in aggregator flow. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to Doma DEX V3's docs whenever and I'll tell you quickly if there's a canonical path for Doma."
Pepu,CASE_4,"hey [Name], Vic from Protofire DAO — had a look at Pepu. you've got the DEX side covered with Pepu V3, but there's no Safe yet, and that's usually the gap. a meme-L2 treasury and its LP incentive pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. we're official Safe integrators — 130+ chains, fast and low-lift. worth a quick chat?","hey [Name], following up on the Safe idea for Pepu — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. for Pepu, a proper Safe is probably the highest-leverage next step to signal you're serious — we're official Safe integrators. worth a chat?","Thanks for connecting, [Name]. had a look at Pepu — you've got a V3-style DEX (Pepu V3) but no Safe multisig on the chain yet. a meme-L2 treasury and its LP incentive pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. we're official Safe integrators (130+ chains, fast + low-lift) — open to a quick chat?","hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage. here whenever you want to scope it."
Althea,CASE_4,"hey [Name], Vic from Protofire DAO — been looking at Althea. your DEX runs on Ambient rather than Uniswap, and there's no Safe multisig on the chain. for a chain tokenizing real-world telecom infrastructure, a Safe multisig is what asset partners and DAOs expect before they custody value on you. a proper Safe is the highest-leverage move here, and we're official Safe integrators (130+ chains) — a canonical Uniswap's an easy follow-on when you're ready. worth a quick chat?","hey [Name], following up on the Safe idea for Althea — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. for Althea, a proper Safe is probably the highest-leverage next step to signal you're serious — we're official Safe integrators. worth a chat?","Thanks for connecting, [Name]. had a look at Althea — your DEX runs on Ambient rather than Uniswap, and there's no Safe multisig on the chain. for a chain tokenizing real-world telecom infrastructure, a Safe multisig is what asset partners and DAOs expect before they custody value on you. official Safe integrators here, plus canonical Uniswap for BOB, Mode, Zora when you're ready. open to a chat?","hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage. here whenever you want to scope it."
VirBiCoin,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at VirBiCoin. you've got VirBiCoin DEX on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. also — doesn't look like VirBiCoin has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a chat?","hey [Name], circling back — layering V3 on VirBiCoin DEX is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. VirBiCoin has VirBiCoin DEX on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw VirBiCoin runs VirBiCoin DEX on V2 — solid, but no V3 yet. for in-world/metaverse asset trading, V3 concentrated liquidity means tighter pricing on your key pairs without needing huge TVL. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). also, no Safe on VirBiCoin yet from what I can see — we can handle that too, we're official Safe integrators. open to a chat?","hey [Name], no rush — whenever you want to give VirBiCoin's LPs a V3 option on top of VirBiCoin DEX, it's a quick add-on for us."
