Network,Comments,EVM,Layer,DEXS number,DEXs,Protocols number,Launch date,TVL,Chain ID,safe_protofire,safe_exists,uniswap_fork,uniswap_version,dex_notes,website_found,project_description,why_good_fit,outreach_case,tg_cold,tg_followup,li_connect,li_first,li_followup,research_notes
Eteria,,EVM,L1,1 vol≠tvl,Eteria,1,—,—,140,NO,NO,UNCLEAR,—,Eteria: UNCLEAR — No DEX docs or listing found; existence of a native AMM unconfirmed.,https://eteria.io,"EVM-compatible general-purpose L1 (native token ERA) marketed as low-cost, fast infrastructure for smart contracts and dApps.","Very early, no tracked TVL and an unverified DEX — low immediate value, but a greenfield chain with zero canonical DeFi infra is exactly where a Safe + canonical Uniswap stack can define the ecosystem from day one.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Eteria and saw a general-purpose EVM L1 still building out its DeFi base layer. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if there isn't a canonical AMM yet, getting a proper Uniswap stack + Safe in early is what makes builders and liquidity take a new L1 seriously. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Eteria runs on would help me tell you if there's a clean path to canonical recognition for Eteria. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Eteria's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw a general-purpose EVM L1 still building out its DeFi base layer on Eteria. if there isn't a canonical AMM yet, getting a proper Uniswap stack + Safe in early is what makes builders and liquidity take a new L1 seriously. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Eteria's docs or repo I can tell you quickly whether canonical recognition is on the table for Eteria. Happy either way.","DEX 'Eteria' unverified — confirm a real AMM exists before outreach. No TVL, no chain_id match. Low priority."
Fluent,,EVM,L2,1,FluxFlow V3,3,5/13/2026,"$7,100,124 ",25363,NO,YES,YES,V3,FluxFlow V3: YES/V3 — DefiLlama lists FluxFlow V3; CMC dexscan tags pools as Uniswap v3; site markets concentrated liquidity + tiered fees.,https://www.fluent.xyz,"Ethereum L2 'blended execution' network running EVM, SVM and Wasm natively in one unified zkVM environment.","~$7.1M TVL and Safe already on-chain, but its only DEX (FluxFlow) is a non-canonical Uniswap v3 fork. Strong fit for a canonical-DAO-recognition play so aggregators like 1inch prioritize the chain.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Fluent and saw FluxFlow already runs a Uniswap-v3-style DEX, and Safe is live on Fluent. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since you're a multi-VM chain courting serious builders, a canonical Uniswap v3 (officially DAO-recognized) is what gets you prioritized by aggregators and treated as blue-chip infra. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what FluxFlow V3 runs on would help me tell you if there's a clean path to canonical recognition for Fluent. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Fluent's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw FluxFlow already runs a Uniswap-v3-style DEX, and Safe is live on Fluent on Fluent. since you're a multi-VM chain courting serious builders, a canonical Uniswap v3 (officially DAO-recognized) is what gets you prioritized by aggregators and treated as blue-chip infra. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to FluxFlow V3's docs or repo I can tell you quickly whether canonical recognition is on the table for Fluent. Happy either way.","Already has a Uniswap v3 fork (FluxFlow) + Safe present. Angle = canonical DAO recognition, not greenfield. CASE_6."
Etica,,EVM,L1,1 vol≠tvl,EticaHub,1,5/12/2026,"$29,363 ",61803,NO,NO,YES,V2,EticaHub: YES/V2 — Described as a Uniswap-V2-style AMM (EticaSwap) modified so every pair routes through ETX as a hub asset.,https://www.eticaprotocol.org,EVM L1 focused on decentralized/open medical research (DeSci) — on-chain peer review and funding of research with EGAZ incentives.,Running a Uniswap-V2-style AMM with no V3. A V3 concentrated-liquidity layer would deepen its thin ETX-hub liquidity and attract active LPs to a niche DeSci economy.,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Etica's DEX setup — you've got EticaHub running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. for a research-funding token economy, V3 concentrated liquidity would let market makers hold tighter ETX spreads instead of the thin V2 pools you have now. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Etica — we can layer it on EticaHub without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. Etica has EticaHub on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw Etica runs EticaHub on V2 — solid, but no V3. for a research-funding token economy, V3 concentrated liquidity would let market makers hold tighter ETX spreads instead of the thin V2 pools you have now. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Etica's LPs a V3 option on top of EticaHub, it's a clean add-on for us. Happy to share how it went on other chains.","Niche DeSci chain, low TVL. V2->V3 pitch valid but small deal size."
Igra,,EVM,L1,2,"ZealousSwap, KaspaCom Dex",3,4/8/2026,"$636,179 ",38833,NO,YES,YES;YES,V2;V2,"ZealousSwap: YES/V2 — Multiple sources call it a Uniswap v2 DEX (single pool per pair, 0.3% fee); first DEX on Igra. | KaspaCom Dex: YES/V2 — KaspaCom swap SDK on npm explicitly 'powered by Uniswap V2', supports Igra mainnet.",https://igralabs.com,"Decentralized EVM execution layer/rollup on Kaspa's PoW BlockDAG (gas token iKAS, wrapped from KAS); sub-second finality, launched mainnet 2026.","Fresh Kaspa-EVM chain with ~$636K TVL and Safe already on-chain, but both DEXes are Uniswap V2 only. Prime V2->V3 upgrade candidate as Kaspa DeFi liquidity ramps.",CASE_5,"hey [Name], Vic from Protofire DAO. looked at Igra's DEX setup — you've got ZealousSwap, KaspaCom Dex running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. as Kaspa liquidity flows into Igra, V3 concentrated liquidity is what lets your MMs quote KAS/iKAS pairs efficiently instead of spreading capital thin across V2 curves. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Igra — we can layer it on ZealousSwap, KaspaCom Dex without disrupting your current V2 pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. Igra has ZealousSwap, KaspaCom Dex on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?","Thanks for connecting, [Name]. Saw Igra runs ZealousSwap, KaspaCom Dex on V2 — solid, but no V3. as Kaspa liquidity flows into Igra, V3 concentrated liquidity is what lets your MMs quote KAS/iKAS pairs efficiently instead of spreading capital thin across V2 curves. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Igra's LPs a V3 option on top of ZealousSwap, KaspaCom Dex, it's a clean add-on for us. Happy to share how it went on other chains.",Both DEXes V2-only. Safe present (chain_id 38833 in v1.5.0). Good V2->V3 lead.
BCHyper,,EVM,L1,1,BCSwap,1,4/8/2026,"$35,227 ",3030,NO,NO,UNCLEAR,—,BCSwap: UNCLEAR — Confirmed as the official DEX of BC Hyper Chain but no technical info on fork/version.,https://versatizecoin.com,EVM L1 marketed as 'India's first indigenous' energy-efficient blockchain (native token VTCN).,Small regional-focus chain; DEX architecture unknown. Exploratory conversation to learn what BCSwap runs on before pitching anything concrete.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at BCHyper and saw BCSwap is your official DEX but its underlying stack isn't public. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. depending on what BCSwap is built on, there may be a clean path to a canonical Uniswap deployment that gives an emerging-market chain real aggregator visibility. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what BCSwap runs on would help me tell you if there's a clean path to canonical recognition for BCHyper. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what BCHyper's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw BCSwap is your official DEX but its underlying stack isn't public on BCHyper. depending on what BCSwap is built on, there may be a clean path to a canonical Uniswap deployment that gives an emerging-market chain real aggregator visibility. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to BCSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for BCHyper. Happy either way.","Fork status unknown. Low TVL, regional. Exploratory only."
QIE,,EVM,L1,1,QIEDex,2,3/10/2026,"$145,925 ",1990,NO,NO,YES,V2,"QIEDex: YES/V2 — Launch release calls it a 'Uniswap-style platform' with 0.3% LP fees and UNI-like governance token — V2 hallmarks, no V3 features mentioned.",https://www.qie.digital,"High-performance EVM (+Cosmos SDK) L1 branding itself the 'Identity Layer of Web3' — fast onboarding, high TPS, near-zero fees.","Uniswap-V2-style DEX, no V3. Identity-focused L1 wanting to look mature to institutions — a canonical V3 upgrade strengthens that positioning.",CASE_5,"hey [Name], Vic from Protofire DAO. looked at QIE's DEX setup — you've got QIEDex running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. for a chain positioning around identity and institutional onboarding, a canonical V3 signals DeFi maturity to the partners you're courting. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for QIE — we can layer it on QIEDex without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. QIE has QIEDex on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw QIE runs QIEDex on V2 — solid, but no V3. for a chain positioning around identity and institutional onboarding, a canonical V3 signals DeFi maturity to the partners you're courting. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give QIE's LPs a V3 option on top of QIEDex, it's a clean add-on for us. Happy to share how it went on other chains.",V2-only per launch materials; not contract-verified. Small TVL.
Doma,,EVM,L2,1,Doma DEX V3,2,2/25/2026,"$520,772 ",97477,NO,YES,YES,V3,Doma DEX V3: YES/V3 — Doma docs state 'Uniswap V3 deployed on Doma Chain' powers fractional-token liquidity.,https://doma.xyz,OP-Stack Ethereum L2 for tokenizing internet domain names as tradable/fractionalizable on-chain RWAs ('DomainFi').,"~$521K TVL, Safe on-chain, and already runs a Uniswap V3 deployment for domain fractionalization. Fit = canonical DAO recognition + deeper routing/graph tooling around the existing V3.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Doma and saw you've already deployed Uniswap V3 to power domain-token fractionalization, and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since fractionalized-domain tokens live or die on liquidity depth, canonical DAO recognition + a proper routing/graph stack around your V3 would tighten pricing and pull in aggregator flow. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Doma DEX V3 runs on would help me tell you if there's a clean path to canonical recognition for Doma. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Doma's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw you've already deployed Uniswap V3 to power domain-token fractionalization, and Safe is live on Doma. since fractionalized-domain tokens live or die on liquidity depth, canonical DAO recognition + a proper routing/graph stack around your V3 would tighten pricing and pull in aggregator flow. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Doma DEX V3's docs or repo I can tell you quickly whether canonical recognition is on the table for Doma. Happy either way.",Already has Uniswap V3 + Safe. CASE_6 canonical-recognition angle. Novel RWA use case.
Pepu,,EVM,L1,1 vol≠tvl,Pepu V3,1,1/26/2026,"$75,526 ",97741,NO,NO,YES,V3,"Pepu V3: YES/V3 — Branded 'Pepu V3', described as Pepe Unchained's Uniswap-equivalent; official docs page 403-blocked so not contract-confirmed.",https://pepeunchained.com,Meme-focused Ethereum L2 (token $PEPU) built for cheap/fast trading with its own DEX and meme-coin launchpad.,Has a Uniswap-v3-style DEX but NO Safe multisig and low (~$76K) TVL. The real gap is Safe — meme L2 treasuries/LPs need multisig custody before serious capital arrives.,CASE_4,"hey [Name], Vic from Protofire DAO. been following Pepu and had a look at the stack. you've got a V3-style DEX (Pepu V3) but no Safe multisig on the chain yet. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. a meme-L2 treasury and its LP incentive pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Pepu — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Pepu, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Pepu — you've got a V3-style DEX (Pepu V3) but no Safe multisig on the chain yet. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. a meme-L2 treasury and its LP incentive pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it.",Has V3 DEX already; gap is Safe (chain_id 97741 not in safe-deployments). Pitch Safe -> CASE_4.
Althea,,EVM,L1,1,Althea DEX,1,1/12/2026,$718 ,258432,NO,NO,NO,—,"Althea DEX (iFi): NO — iFi DEX was forked from Ambient (single-contract DEX), NOT Uniswap; explicitly contrasts itself with Uniswap v3.",https://www.althea.net,Cosmos-SDK hybrid-EVM L1 for infrastructure/connectivity — 'Liquid Infrastructure' tokenizing telecom/broadband assets and micropayments.,"No Safe, minimal (~$718) TVL, and its DEX is an Ambient fork (not Uniswap). At this size the highest-leverage move is a proper Safe to signal seriousness to infra partners.",CASE_4,"hey [Name], Vic from Protofire DAO. been following Althea and had a look at the stack. your DEX runs on Ambient rather than Uniswap, and there's no Safe multisig on the chain. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a chain tokenizing real-world telecom infrastructure, a Safe multisig is what asset partners and DAOs expect before they custody value on you. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Althea — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Althea, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Althea — your DEX runs on Ambient rather than Uniswap, and there's no Safe multisig on the chain. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a chain tokenizing real-world telecom infrastructure, a Safe multisig is what asset partners and DAOs expect before they custody value on you. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it.",DEX is Ambient fork (not Uniswap). No Safe. Minimal TVL. CASE_4 Safe-first.
VirBiCoin,,EVM,L1,1 vol≠tvl,VirBiCoin DEX,1,12/27/2025,"$16,360 ",329,NO,NO,YES,V2,"VirBiCoin DEX: YES/V2 — Described as a Uniswap-V2-style AMM (pools + LP farming); sourcing thin, not contract-audited.",https://virbicoin.com,EVM-compatible Proof-of-Work L1 (token VBC) aimed at metaverse/virtual economies and digital assets; mainnet 2025.,"V2-style AMM, no V3. Small metaverse chain — V3 would improve capital efficiency for its in-world asset markets.",CASE_5,"hey [Name], Vic from Protofire DAO. looked at VirBiCoin's DEX setup — you've got VirBiCoin DEX running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. for in-world/metaverse asset trading, V3 concentrated liquidity means tighter pricing on your key pairs without needing huge TVL. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for VirBiCoin — we can layer it on VirBiCoin DEX without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. VirBiCoin has VirBiCoin DEX on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw VirBiCoin runs VirBiCoin DEX on V2 — solid, but no V3. for in-world/metaverse asset trading, V3 concentrated liquidity means tighter pricing on your key pairs without needing huge TVL. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give VirBiCoin's LPs a V3 option on top of VirBiCoin DEX, it's a clean add-on for us. Happy to share how it went on other chains.","V2-only, not contract-verified. Small PoW metaverse chain."
