"Network","Status","Offer","Chain_ID","DEXs","DEXs_count","Protocols","Launch_Date","TVL","safe_protofire","safe_exists","Message_Draft","Notes"
"AILayer","Active","Safe+UniV3","2649","AINN Swap","1 vol≠tvl","7","6/24/2024","$89,652","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at AILayer's DeFi setup, AINN Swap is the only DEX and no Safe multisig yet

thought both could be useful here, Safe for protocol and team multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols check before building on a new AI chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Rari","DEAD - Shut down 2024","Safe+UniV3","1380012617","Camelot V3, Camelot V2","2","4","6/18/2024","$8,387","NO","NO","N/A - DEAD - Shut down 2024",""
"Ham","Active","Safe+UniV3","5112","BBQSwap","1 vol≠tvl","1","6/11/2024","$2,929","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Ham's DeFi setup, BBQSwap is the only DEX and no Safe multisig yet

thought both could be useful here, Safe for team and protocol multisigs, Uniswap V3 for concentrated liquidity, both are standard infrastructure for Base ecosystem chains

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"LUKSO","Active","UniV3","42","Phlox, Universal Swaps","2 vol≠tvl","7","6/5/2024","$36,859","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at LUKSO's DEX setup, Phlox, Universal Swaps are running but no Uniswap V3 yet

with your NFT and creator economy focus a canonical Uniswap V3 would give LSP token pairs proper liquidity depth

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for LUKSO, open to connecting teams on a group chat here?",""
"Genesys","Uncertain - verify","Safe+UniV3","16507","BlueLotusDao DEX","1 vol≠tvl","2","5/29/2024","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Genesys's DeFi setup, BlueLotusDao DEX is the only DEX and no Safe multisig yet

thought both could be a good fit, Safe for team multisigs and protocol treasuries, Uniswap V3 as the standard AMM layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"re.al","DEAD - Shut down June 2025","UniV3","111188","Pearl V2, Pearl V1.5","2","10","5/23/2024","—","YES","YES","N/A - DEAD - Shut down June 2025",""
"BounceBit","Active","Canonical UniV3","6001","BounceBit Swap V3, BounceBit Swap V2","2 vol≠tvl","13","5/16/2024","$688,730","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

noticed BounceBit's BounceBit Swap V3 is live but not a canonical Uniswap deployment, means your pools won't show up in the official Uniswap interface and aggregators like 1inch tend to deprioritize non-canonical pools when routing BTC restaking liquidity

we've deployed canonical v3 on BOB, Abstract, Mode, thought we could handle the migration for BounceBit cleanly, open to connecting teams on a group chat here?",""
"Endurance","Active","UniV3","648","Catalist DEX, Tesseract World","2 vol≠tvl","4","5/9/2024","$26","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Endurance's DEX setup, Catalist DEX, Tesseract World are running but no Uniswap V3 yet

with your gaming ecosystem focus a canonical Uniswap V3 would give game tokens proper liquidity and attract market makers

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Endurance, open to connecting teams on a group chat here?",""
"Planq","Active","UniV3","7070","Ciento Exchange, Physica Finance","2 vol≠tvl","2","4/19/2024","$5,259","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Planq's DEX setup, Ciento Exchange, Physica Finance are running but no Uniswap V3 yet

a canonical Uniswap V3 would give the ecosystem a proper concentrated liquidity layer

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Planq, open to connecting teams on a group chat here?",""
"Ancient8","Active","UniV3","888888888","Baryon Network, Ancient8 Swap","2 vol≠tvl","3","4/16/2024","$38,010","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Ancient8's DEX setup, Baryon Network, Ancient8 Swap are running but no Uniswap V3 yet

with your gaming L2 focus a canonical Uniswap V3 would give in-game tokens real liquidity depth

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Ancient8, open to connecting teams on a group chat here?",""
"HAQQ","Active","UniV3","11235","SushiSwap","1 vol≠tvl","5","4/4/2024","$11","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at HAQQ's DEX setup, SushiSwap is running but no Uniswap V3 yet

with your Islamic finance positioning a canonical Uniswap V3 would add a transparent and widely trusted liquidity layer

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for HAQQ, open to connecting teams on a group chat here?",""
"RSS3","Uncertain - verify","Safe+UniV3","—","Openswap VSL","1 vol≠tvl","1","3/26/2024","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at RSS3's DeFi setup, Openswap VSL is the only DEX and no Safe multisig yet

thought both could be useful here, Safe for protocol and DAO treasuries, Uniswap V3 for token liquidity, standard infra for a social protocol expanding into DeFi

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"DeFiChain EVM","Active","Safe+UniV3","1130","VanillaSwap V2, VanillaSwap V3","2","3","3/25/2024","$97,150","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at DeFiChain EVM's DeFi setup, VanillaSwap V2, VanillaSwap V3 are the DEXes there and no Safe multisig yet

thought both could be a great fit here, Safe for protocol multisigs, Uniswap V3 as a concentrated liquidity layer on top of Bitcoin-backed assets

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
