network_name,case,tg_cold,tg_followup,li_connect,li_first,li_followup
Prom,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Prom's DEX setup — you've got savmSwap running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. for a gaming/NFT L2, V3 concentrated liquidity gives market makers tighter pricing on your key pairs as volume ramps. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Prom — we can layer it on savmSwap without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. Prom has savmSwap on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw Prom runs savmSwap on V2 — solid, but no V3. for a gaming/NFT L2, V3 concentrated liquidity gives market makers tighter pricing on your key pairs as volume ramps. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Prom's LPs a V3 option on top of savmSwap, it's a clean add-on for us. Happy to share how it went on other chains."
HashKey Chain,CASE_2,"hey [Name], Vic from Protofire DAO — we build core infra for EVM chains. had a look at HashKey Chain's stack — you've got Safe covered, but no canonical Uniswap DEX yet. your current venues are DODO/orderbook-style, so there's no canonical constant-product AMM for long-tail pairs — and for an institution-grade L2 a DAO-recognized Uniswap is the liquidity layer partners expect. without one, your swap volume is leaking to other chains and your LPs don't have a proper interface to manage positions. we deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, and the canonical DAO governance proposal that gets your DEX officially recognized. done this for BOB, MODE, Abstract, Zora and others. whitelabel on your domain or shared UI — 2–4 weeks either way. open to a quick sync?","hey [Name], following up on the Uniswap idea for HashKey Chain — end-to-end deploy on our side, and it plugs the swap-volume leak. worth a quick call?",Hi [Name] — Vic at Protofire DAO. HashKey Chain has Safe covered but no canonical Uniswap DEX yet; that's usually where swap volume leaks. Worth a chat?,"Thanks for connecting, [Name]. Had a look at HashKey Chain — you've got Safe covered, but no canonical Uniswap DEX yet. your current venues are DODO/orderbook-style, so there's no canonical constant-product AMM for long-tail pairs — and for an institution-grade L2 a DAO-recognized Uniswap is the liquidity layer partners expect. We deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, plus the canonical DAO proposal that gets it officially recognized. Done this for BOB, MODE, Abstract, Zora. Whitelabel or shared UI, ~2–4 weeks. Open to a quick sync?","Hey [Name], no rush — the Uniswap deploy is end-to-end on our side and tends to stop the swap-volume leak to other chains. Here whenever you want to scope it."
MTT Network,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at MTT Network and saw Yaakoswap is your DEX but its stack isn't documented and on-chain activity looks dormant. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if the chain is being revived, a canonical Uniswap + Safe would be the base layer to rebuild DeFi credibility on. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Yaakoswap runs on would help me tell you if there's a clean path to canonical recognition for MTT Network. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what MTT Network's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Yaakoswap is your DEX but its stack isn't documented and on-chain activity looks dormant on MTT Network. if the chain is being revived, a canonical Uniswap + Safe would be the base layer to rebuild DeFi credibility on. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Yaakoswap's docs or repo I can tell you quickly whether canonical recognition is on the table for MTT Network. Happy either way."
WINR,CASE_4,"hey [Name], Vic from Protofire DAO. been following WINR and had a look at the stack. you've already got a Uniswap-v3-derived DEX (Camelot on Algebra), but there's no Safe multisig on WINR. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a gaming chain custodying player and treasury funds, a proper Safe multisig is the piece bridges and partners check for before committing. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for WINR — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For WINR, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at WINR — you've already got a Uniswap-v3-derived DEX (Camelot on Algebra), but there's no Safe multisig on WINR. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a gaming chain custodying player and treasury funds, a proper Safe multisig is the piece bridges and partners check for before committing. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Hydra Chain,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Hydra Chain and saw HydraDEX already runs Uniswap-V2+V3-style pools and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since you already run V2+V3 pools, the value is canonical DAO recognition — getting your DEX officially recognized so aggregators prioritize it. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what HydraDEX runs on would help me tell you if there's a clean path to canonical recognition for Hydra Chain. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Hydra Chain's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw HydraDEX already runs Uniswap-V2+V3-style pools and Safe is live on Hydra Chain. since you already run V2+V3 pools, the value is canonical DAO recognition — getting your DEX officially recognized so aggregators prioritize it. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to HydraDEX's docs or repo I can tell you quickly whether canonical recognition is on the table for Hydra Chain. Happy either way."
Form Network,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Form Network and saw Fibonacci is your DEX but its underlying stack isn't documented. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. for a SocialFi L2, a canonical DAO-recognized Uniswap gives your social-token markets an aggregator-visible venue. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Fibonacci Dex runs on would help me tell you if there's a clean path to canonical recognition for Form Network. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Form Network's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Fibonacci is your DEX but its underlying stack isn't documented on Form Network. for a SocialFi L2, a canonical DAO-recognized Uniswap gives your social-token markets an aggregator-visible venue. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Fibonacci Dex's docs or repo I can tell you quickly whether canonical recognition is on the table for Form Network. Happy either way."
Story,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Story and saw PiperX (V2+V3) and Story Hunt (V3) already run Uniswap-derived DEXes and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. with real IP-token liquidity building, canonical DAO recognition would make your V3 the venue aggregators route IPFi flow through. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what PiperX / Story Hunt runs on would help me tell you if there's a clean path to canonical recognition for Story. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Story's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw PiperX (V2+V3) and Story Hunt (V3) already run Uniswap-derived DEXes and Safe is live on Story. with real IP-token liquidity building, canonical DAO recognition would make your V3 the venue aggregators route IPFi flow through. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to PiperX / Story Hunt's docs or repo I can tell you quickly whether canonical recognition is on the table for Story. Happy either way."
Stratis,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Stratis and saw StraxSwap is your native DEX but its underlying stack isn't documented. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. as the EVM chain settles post-rebrand, a canonical DAO-recognized Uniswap would give it a credible, aggregator-visible liquidity layer. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what StraxSwap runs on would help me tell you if there's a clean path to canonical recognition for Stratis. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Stratis's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw StraxSwap is your native DEX but its underlying stack isn't documented on Stratis. as the EVM chain settles post-rebrand, a canonical DAO-recognized Uniswap would give it a credible, aggregator-visible liquidity layer. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to StraxSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for Stratis. Happy either way."
Silicon zkEVM,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Silicon zkEVM and saw Fizzswap already runs V2/V3-style pools but its fork lineage isn't documented. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if Fizzswap is Uniswap-based there's likely a clean path to canonical recognition; if not, a canonical Uniswap + Safe would anchor DeFi on a young zkEVM. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Fizzswap runs on would help me tell you if there's a clean path to canonical recognition for Silicon zkEVM. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Silicon zkEVM's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Fizzswap already runs V2/V3-style pools but its fork lineage isn't documented on Silicon zkEVM. if Fizzswap is Uniswap-based there's likely a clean path to canonical recognition; if not, a canonical Uniswap + Safe would anchor DeFi on a young zkEVM. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Fizzswap's docs or repo I can tell you quickly whether canonical recognition is on the table for Silicon zkEVM. Happy either way."
Parex,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Parex and saw RaccoonSwap is your native AMM but its underlying stack isn't documented. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if you want PRX markets visible to aggregators, a canonical DAO-recognized Uniswap (plus a Safe) is the credible base. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what RaccoonSwap runs on would help me tell you if there's a clean path to canonical recognition for Parex. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Parex's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw RaccoonSwap is your native AMM but its underlying stack isn't documented on Parex. if you want PRX markets visible to aggregators, a canonical DAO-recognized Uniswap (plus a Safe) is the credible base. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to RaccoonSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for Parex. Happy either way."
